Index,Timestamp,Speaker,Utterance,Traits,Justification,Confidence,ClarityScore,UniquenessScore,QualityScore
0,,MOT,Ginny .,NONE,simple name mention,0.0,0.0,0.0,0.0
1,,MOT,Look at the baby !,NONE,normal directive,0.0,0.0,0.0,0.0
2,,MOT,let's feed the baby Ginny .,NONE,normal suggestion,0.0,0.0,0.0,0.0
3,,MOT,can you feed the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
4,,MOT,can we feed the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
5,,MOT,let's feed the baby .,NONE,normal suggestion,0.0,0.0,0.0,0.0
6,,MOT,open your mouth baby .,NONE,normal directive,0.0,0.0,0.0,0.0
7,,CHI,&~aoum .,NONE,unclear utterance,0.0,0.0,0.0,0.0
8,,MOT,&~aoum .,NONE,unclear utterance,0.0,0.0,0.0,0.0
9,,MOT,open your mouth baby .,NONE,normal directive,0.0,0.0,0.0,0.0
10,,MOT,mm: .,NONE,unclear utterance,0.0,0.0,0.0,0.0
11,,MOT,do you wanna feed the baby Ginny ?,NONE,normal question,0.0,0.0,0.0,0.0
12,,MOT,oh you're feeding your baby .,NONE,normal observation,0.0,0.0,0.0,0.0
13,,CHI,&=whines .,NONE,unclear utterance,0.0,0.0,0.0,0.0
14,,MOT,you feed your baby Ginny .,NONE,normal directive,0.0,0.0,0.0,0.0
15,,CHI,&=whines .,NONE,unclear utterance,0.0,0.0,0.0,0.0
16,,MOT,feed your baby Ginny .,NONE,normal directive,0.0,0.0,0.0,0.0
17,,CHI,&~ee .,NONE,unclear utterance,0.0,0.0,0.0,0.0
18,,MOT,"here feed your baby , look .",NONE,normal directive,0.0,0.0,0.0,0.0
19,,MOT,"I feed this &~b , you feed that baby .",NONE,normal directive,0.0,0.0,0.0,0.0
20,,CHI,&~ee &~ee .,NONE,unclear utterance,0.0,0.0,0.0,0.0
21,,MOT,say open up .,NONE,normal directive,0.0,0.0,0.0,0.0
22,,CHI,&~ee &~an &=eats .,NONE,unclear utterance,0.0,0.0,0.0,0.0
23,,MOT,say open up .,NONE,normal directive,0.0,0.0,0.0,0.0
24,,MOT,say eat .,NONE,normal directive,0.0,0.0,0.0,0.0
25,,CHI,&~arn &=eats .,NONE,unclear utterance,0.0,0.0,0.0,0.0
26,,MOT,say eat the food .,NONE,normal directive,0.0,0.0,0.0,0.0
27,,MOT,eat up .,NONE,normal directive,0.0,0.0,0.0,0.0
28,,MOT,eat up .,NONE,normal directive,0.0,0.0,0.0,0.0
29,,MOT,"it's delicious , you want some to eat too ?",NONE,normal question,0.0,0.0,0.0,0.0
30,,CHI,&~n .,NONE,unclear utterance,0.0,0.0,0.0,0.0
31,,MOT,no it's for the baby .,NONE,normal directive,0.0,0.0,0.0,0.0
32,,MOT,eat baby .,NONE,normal directive,0.0,0.0,0.0,0.0
33,,MOT,eat baby .,NONE,normal directive,0.0,0.0,0.0,0.0
34,,MOT,that's a good baby .,NONE,normal observation,0.0,0.0,0.0,0.0
35,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
36,,MOT,you gotta burp the baby now .,NONE,normal directive,0.0,0.0,0.0,0.0
37,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
38,,MOT,<look Ginny>  [/] look Ginny .,NONE,normal directive,0.0,0.0,0.0,0.0
39,,MOT,look we can burp the baby now .,NONE,normal observation,0.0,0.0,0.0,0.0
40,,MOT,you gonna burp the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
41,,MOT,you wanna burp the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
42,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
43,,MOT,you wanna burp the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
44,,MOT,I'm burping the  [/] the baby .,NONE,normal statement,0.0,0.0,0.0,0.0
45,,CHI,mm: .,NONE,unclear utterance,0.0,0.0,0.0,0.0
46,,MOT,you wanna burp the baby ?,NONE,normal question,0.0,0.0,0.0,0.0
47,,MOT,no ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
48,,MOT,okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
49,,MOT,ye(a)h burp the baby like this .,NONE,normal directive,0.0,0.0,0.0,0.0
50,,MOT,burp the baby .,NONE,simple statement,0.0,0.0,0.0,0.0
51,,MOT,ye(a)h .,NONE,simple affirmation,0.0,0.0,0.0,0.0
52,,CHI,<&~ee &~a>  [/] &~ee &~a &~ee &~ee &~ee &~ee &~a .,T09,child repeats sounds in a non-meaningful way; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
53,,MOT,yes a baby burp baby .,NONE,simple statement,0.0,0.0,0.0,0.0
54,,MOT,&=belches the baby burped .,NONE,simple statement,0.0,0.0,0.0,0.0
55,,MOT,she burped .,NONE,simple statement,0.0,0.0,0.0,0.0
56,,CHI,xxx .,T09,child repeats sounds in a non-meaningful way; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
57,,MOT,"oh that's a , give me some tea please Ginny pour some tea in here for me .",NONE,simple request,0.0,0.0,0.0,0.0
58,,CHI,&~a &~t &~o .,T09,child repeats sounds in a non-meaningful way; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
59,,MOT,"pour some tea , no Ginny you gotta pour the tea inside .",NONE,simple request,0.0,0.0,0.0,0.0
60,,MOT,give me some tea .,NONE,simple request,0.0,0.0,0.0,0.0
61,,MOT,thank_you .,NONE,simple expression of gratitude,0.0,0.0,0.0,0.0
62,,MOT,drink this tea .,NONE,simple request,0.0,0.0,0.0,0.0
63,,MOT,drink .,NONE,simple command,0.0,0.0,0.0,0.0
64,,CHI,&~da &~da &~glnk &~glnk &~glnk &~glnk &~glnk &~glnk .,T09,child repeats sounds in a non-meaningful way; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
65,,MOT,drink &~glnk &~glnk &~glnk &~glnk &~glnk &~glnk &~glnk &~glnk .,NONE,simple statement,0.0,0.0,0.0,0.0
66,,CHI,ah !,NONE,simple exclamation,0.0,0.0,0.0,0.0
67,,MOT,ah !,NONE,simple exclamation,0.0,0.0,0.0,0.0
68,,MOT,&~a &~a &~a &~a &~a &~a ah !,T07,excessive vocalization with repeated sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
69,,MOT,drink more tea .,NONE,simple command,0.0,0.0,0.0,0.0
70,,CHI,&~m .,T09,child repeats sounds in a non-meaningful way; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
71,,MOT,&~glnk &~glnk &~glnk &~glnk &~glnk &~glnk &~glnk ah !,T07,excessive vocalization with repeated sounds; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
72,,CHI,xxx .,T09,child repeats sounds in a non-meaningful way; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
73,,MOT,she's finished ?,NONE,simple question,0.0,0.0,0.0,0.0
74,,MOT,how about the car .,NONE,simple question,0.0,0.0,0.0,0.0
75,,MOT,can the baby go in the &~ca +/.,NONE,simple question,0.0,0.0,0.0,0.0
76,,CHI,no .,NONE,normal conversational response,0.0,0.0,0.0,0.0
77,,MOT,no ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
78,,CHI,no .,NONE,normal conversational response,0.0,0.0,0.0,0.0
79,,MOT,you don't want baby to go in the car ?,NONE,simple question,0.0,0.0,0.0,0.0
80,,MOT,what do you want baby to &~d .,NONE,simple question,0.0,0.0,0.0,0.0
81,,MOT,&=gasps the baby can drink the milk &=sips .,NONE,simple statement,0.0,0.0,0.0,0.0
82,,MOT,&=gasps oh your baby wants to drink it ?,NONE,simple question,0.0,0.0,0.0,0.0
83,,CHI,no .,NONE,normal conversational response,0.0,0.0,0.0,0.0
84,,MOT,ye(a)h let your baby drink the milk .,NONE,simple statement,0.0,0.0,0.0,0.0
85,,CHI,xxx .,T09,child repeats,0.0,0.0,0.0,0.0
100,,MOT,aw hug .,NONE,normal conversational response,0.0,0.0,0.0,0.0
101,,MOT,you wanna play with me ?,NONE,normal question,0.0,0.0,0.0,0.0
102,,CHI,&~r play .,NONE,unclear utterance,0.0,0.0,0.0,0.0
103,,MOT,<let's run>  [/] let's run .,NONE,unclear utterance,0.0,0.0,0.0,0.0
104,,CHI,Mom !,T05,child responds impulsively before mother finishes speaking; clarity=0.75; uniqueness=1.00; confidence=0.85,0.85,0.75,1.0,0.0
105,,MOT,<let's run>  [/] <let's run>  [/] let's run .,NONE,unclear utterance,0.0,0.0,0.0,0.0
106,,CHI,&~wah .,NONE,unclear utterance,0.0,0.0,0.0,0.0
107,,MOT,&=gasps let's go in the car .,NONE,unclear utterance,0.0,0.0,0.0,0.0
108,,CHI,xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
109,,MOT,put baby in the car Ginny .,NONE,simple instruction,0.0,0.0,0.0,0.0
110,,CHI,&=grunts .,NONE,unclear utterance,0.0,0.0,0.0,0.0
111,,MOT,put baby in the car .,NONE,simple instruction,0.0,0.0,0.0,0.0
112,,CHI,&=moans .,NONE,unclear utterance,0.0,0.0,0.0,0.0
113,,MOT,ye(a)h .,NONE,simple affirmation,0.0,0.0,0.0,0.0
114,,MOT,put baby in the car Ginny .,NONE,simple instruction,0.0,0.0,0.0,0.0
115,,CHI,&=sighs .,NONE,unclear utterance,0.0,0.0,0.0,0.0
116,,MOT,ye(a)h .,NONE,simple affirmation,0.0,0.0,0.0,0.0
117,,MOT,put baby in the car .,NONE,simple instruction,0.0,0.0,0.0,0.0
118,,MOT,you see baby ?,NONE,simple question,0.0,0.0,0.0,0.0
119,,MOT,put baby in the car Ginny .,NONE,simple instruction,0.0,0.0,0.0,0.0
120,,MOT,put baby in the car .,NONE,simple instruction,0.0,0.0,0.0,0.0
121,,MOT,put her in the car .,NONE,simple instruction,0.0,0.0,0.0,0.0
122,,MOT,you wanna put the baby in the car ?,NONE,simple question,0.0,0.0,0.0,0.0
123,,MOT,look this baby's gonna go in the car .,NONE,simple statement,0.0,0.0,0.0,0.0
124,,MOT,see .,NONE,simple statement,0.0,0.0,0.0,0.0
125,,CHI,no &~o .,NONE,normal conversational response,0.0,0.0,0.0,0.0
126,,MOT,"no , oh .",NONE,simple statement,0.0,0.0,0.0,0.0
127,,MOT,okay maybe we'll watch you .,NONE,simple statement,0.0,0.0,0.0,0.0
128,,CHI,you can xxx .,NONE,unclear utterance,0.0,0.0,0.0,0.0
129,,MOT,oh here's a phone anyway .,NONE,simple statement,0.0,0.0,0.0,0.0
130,,MOT,hello .,NONE,simple greeting,0.0,0.0,0.0,0.0
131,,MOT,hi .,NONE,simple greeting,0.0,0.0,0.0,0.0
132,,MOT,talk to Ginny .,NONE,simple instruction,0.0,0.0,0.0,0.0
133,,MOT,here Ginny wants say hi to you .,NONE,simple statement,0.0,0.0,0.0,0.0
